2025-12-29 16:47:01,566 | INFO | __main__ | Processing file: /Users/leonardjin/Dev/csha/csha-ai-agent-api/web-etl/data/raw/website-data/endpoint-content/person_endpoint_content.json
2025-12-29 16:47:02,204 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:02,210 | INFO | __main__ | Document UUID: 52636133-76fb-55cc-a7b0-29d7983d64ee Chunks: 1 Title: 'Camara Christian' URL: https://www.schoolhealthcenters.org/people/camara-christian/
2025-12-29 16:47:02,724 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:02,726 | INFO | __main__ | Document UUID: f067b9a6-e442-5f3e-9884-58572e718b3c Chunks: 1 Title: 'Taaliyah Tucker' URL: https://www.schoolhealthcenters.org/people/taaliyah-tucker/
2025-12-29 16:47:03,521 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:03,525 | INFO | __main__ | Document UUID: b289bcdf-5bf5-59d1-8b3b-7e73ee7159b7 Chunks: 1 Title: 'Saivishnu Tulugu' URL: https://www.schoolhealthcenters.org/people/saivishnu-tulugu/
2025-12-29 16:47:03,851 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:03,852 | INFO | __main__ | Document UUID: 2c822942-1823-557a-9910-643c91aae819 Chunks: 1 Title: 'Rehma Shahid' URL: https://www.schoolhealthcenters.org/people/rehma-shahid/
2025-12-29 16:47:04,281 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:04,282 | INFO | __main__ | Document UUID: 4de22285-bf19-5ffb-87a6-f26e229e12ea Chunks: 1 Title: 'Nancy Aguilar' URL: https://www.schoolhealthcenters.org/people/nancy-aguilar/
2025-12-29 16:47:04,570 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:04,573 | INFO | __main__ | Document UUID: 4059cb44-7302-56f4-9ec8-338917f17d51 Chunks: 1 Title: 'Jubilee Adams' URL: https://www.schoolhealthcenters.org/people/jubilee-adams/
2025-12-29 16:47:04,875 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:04,877 | INFO | __main__ | Document UUID: b2ae0fed-ed9b-5288-b932-fc2c0313dcc2 Chunks: 1 Title: 'Carmen Vega' URL: https://www.schoolhealthcenters.org/people/carmen-vega/
2025-12-29 16:47:05,183 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:05,193 | INFO | __main__ | Document UUID: 900af95a-e85d-5811-b6bd-b373ab24b4e4 Chunks: 1 Title: 'Sharla E. Smith' URL: https://www.schoolhealthcenters.org/people/sharla-e-smith/
2025-12-29 16:47:05,478 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:05,479 | INFO | __main__ | Document UUID: aaa7b506-a1c0-5507-8839-6a19ffcc7b45 Chunks: 1 Title: 'Maryjane Puffer' URL: https://www.schoolhealthcenters.org/people/maryjane-puffer/
2025-12-29 16:47:06,274 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:06,294 | INFO | __main__ | Document UUID: ff866182-ef2f-50cb-9baa-3e3f043ad4d0 Chunks: 1 Title: 'Stephanie Ocampo' URL: https://www.schoolhealthcenters.org/people/stephanie-ocampo/
2025-12-29 16:47:06,656 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:06,659 | INFO | __main__ | Document UUID: 3f83a7b8-6802-516a-bbb4-8ba5705b7ab6 Chunks: 1 Title: 'Felipe Mercado' URL: https://www.schoolhealthcenters.org/people/felipe-mercado/
2025-12-29 16:47:06,909 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:06,916 | INFO | __main__ | Document UUID: 4be00e7b-c2e0-5e26-9c19-bbb8f6b4228c Chunks: 1 Title: 'Michael Lombardo' URL: https://www.schoolhealthcenters.org/people/michael-lombardo/
2025-12-29 16:47:07,844 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:07,845 | INFO | __main__ | Document UUID: 0e1837e5-bcb3-5e07-a3d7-b8bdbd15816e Chunks: 1 Title: 'Jazzmin Hicks-Bonam' URL: https://www.schoolhealthcenters.org/people/jazzmin-hicks-bonam/
2025-12-29 16:47:08,157 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:08,158 | INFO | __main__ | Document UUID: 17bde19b-7046-55a0-baf8-612aa7691a2f Chunks: 1 Title: 'Deanna Niebuhr' URL: https://www.schoolhealthcenters.org/people/deanna-niebuhr/
2025-12-29 16:47:08,560 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:08,565 | INFO | __main__ | Document UUID: 21318085-452a-5645-b592-e18d29db194e Chunks: 1 Title: 'Dareen Khatib' URL: https://www.schoolhealthcenters.org/people/dareen-khatib/
2025-12-29 16:47:08,783 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:08,788 | INFO | __main__ | Document UUID: e60c781b-2a32-5fa6-b7f3-6edf05f6ed91 Chunks: 1 Title: 'Dina Mirmotalebisohi' URL: https://www.schoolhealthcenters.org/people/dina-mirmotalebisohi/
2025-12-29 16:47:09,072 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:09,073 | INFO | __main__ | Document UUID: 3f817388-30d8-57f2-8c39-8df80e6126c8 Chunks: 1 Title: 'Christian Lizaso' URL: https://www.schoolhealthcenters.org/people/christian-lizaso/
2025-12-29 16:47:09,449 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:09,451 | INFO | __main__ | Document UUID: 7ef347df-8cc3-5c2f-a6a4-28326c0737e7 Chunks: 1 Title: 'Mario Alfaro' URL: https://www.schoolhealthcenters.org/people/mario-alfaro/
2025-12-29 16:47:09,757 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:09,764 | INFO | __main__ | Document UUID: 859df5c6-4191-585e-b31e-f71070dd2140 Chunks: 1 Title: 'Jessica Saint-Paul' URL: https://www.schoolhealthcenters.org/people/jessica-saint-paul/
2025-12-29 16:47:10,160 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:10,168 | INFO | __main__ | Document UUID: 2db123f0-ee75-59e5-ada0-29afde93d71d Chunks: 1 Title: 'Ally Wick' URL: https://www.schoolhealthcenters.org/people/ally-wick/
2025-12-29 16:47:10,527 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:10,529 | INFO | __main__ | Document UUID: acbea074-c212-5502-9da5-c9779c07a4fe Chunks: 1 Title: 'Judy Singharath' URL: https://www.schoolhealthcenters.org/people/judy-singharath/
2025-12-29 16:47:10,817 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:10,821 | INFO | __main__ | Document UUID: 1eb431b1-1235-5244-b014-c3218677e3ad Chunks: 1 Title: 'Irma Rosa Viera' URL: https://www.schoolhealthcenters.org/people/irma-rosa-viera/
2025-12-29 16:47:11,224 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-29 16:47:11,226 | INFO | __main__ | Document UUID: c401ce37-0bce-5ecf-8584-5e8339d4eead Chunks: 1 Title: 'Marcel Reynolds' URL: https://www.schoolhealthcenters.org/people/marcel-reynolds/
